# Interpolated propeller performance at 30 N (required) and 11 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@30N  Thrust@30N (N)  Power@30N (W)  Torque@30N (Nm)     Cp@30N     Ct@30N    FOM@30N  Eff@30N (N/W)  RPM@11N  Thrust@11N (N)  Power@11N (W)  Torque@11N (Nm)     Cp@11N     Ct@11N    FOM@11N  Eff@11N (N/W)
         19x8E     4646         30.5000       347.5010           0.7007     0.0227     0.0756     0.7327         0.0903     2792              11        79.8800           0.2637     0.0234     0.0747     0.6964         0.1451
     205x14EPN     3528         30.5000       349.9260           0.9126     0.0347     0.0959     0.6824         0.0920     2121              11        79.9300           0.3416     0.0359     0.0954     0.6548         0.1466
       205x14E     3525         30.5000       350.2940           0.9145     0.0348     0.0961     0.6814         0.0919     2120              11        79.7890           0.3421     0.0360     0.0954     0.6546         0.1469
         19x8W     4392         30.5000       350.3280           0.7441     0.0269     0.0845     0.7287         0.0900     2626              11        82.3460           0.2822     0.0281     0.0834     0.6841         0.1454
        20x13E     3706         30.5000       350.3870           0.8791     0.0345     0.0964     0.6936         0.0907     2212              11        81.7310           0.3287     0.0356     0.0958     0.6649         0.1470
         19x11     4091         30.5000       351.3300           0.8116     0.0340     0.0981     0.7213         0.0880     2424              11        84.0060           0.3063     0.0356     0.0973     0.6810         0.1448
        19x10E     4313         30.5000       353.2230           0.7642     0.0286     0.0877     0.7238         0.0891     2570              11        82.1010           0.2860     0.0296     0.0869     0.6899         0.1474
       19x12WE     3989         30.5000       354.9450           0.8489     0.0376     0.1037     0.7088         0.0861     2356              11        84.1710           0.3165     0.0388     0.1029     0.6795         0.1458
         20x14     3880         30.5000       357.8440           0.8706     0.0314     0.0887     0.6718         0.0869     2299              11        85.5390           0.3295     0.0330     0.0882     0.6343         0.1416
       18x55MR     5259         30.5000       358.5760           0.6423     0.0213     0.0736     0.7471         0.0867     3167              11        82.1000           0.2412     0.0219     0.0727     0.7124         0.1391
        19x12E     4124         30.5000       362.2990           0.8276     0.0341     0.0964     0.7012         0.0857     2444              11        85.1790           0.3091     0.0352     0.0957     0.6706         0.1434
         18x8E     5091         30.5000       364.0780           0.6783     0.0241     0.0788     0.7330         0.0845     3070              11        83.1530           0.2549     0.0249     0.0778     0.6984         0.1348
20x15(WCAR-T6)     3555         30.5000       365.0870           0.9459     0.0401     0.1043     0.6703         0.0880     2134              11        83.6780           0.3559     0.0417     0.1038     0.6395         0.1407
         18x8W     4816         30.5000       366.2570           0.7181     0.0285     0.0878     0.7299         0.0847     2905              11        84.3590           0.2722     0.0295     0.0867     0.6885         0.1337
        181x10     4394         30.5000       366.3390           0.7779     0.0358     0.1025     0.7315         0.0861     2623              11        85.5380           0.2932     0.0373     0.1015     0.6932         0.1399
        20x15C     3821         30.5000       367.0440           0.9015     0.0333     0.0911     0.6580         0.0854     2268              11        87.0290           0.3406     0.0350     0.0907     0.6228         0.1389
        20x15E     3603         30.5000       367.6650           0.9419     0.0389     0.1016     0.6648         0.0872     2158              11        84.3450           0.3517     0.0401     0.1012     0.6393         0.1408
          18x8     5261         30.5000       373.3510           0.6681     0.0221     0.0735     0.7179         0.0832     3171              11        87.4060           0.2549     0.0232     0.0725     0.6718         0.1303
        18x10E     4734         30.5000       373.7170           0.7413     0.0303     0.0906     0.7186         0.0836     2847              11        84.6410           0.2776     0.0312     0.0897     0.6877         0.1356
         18x6W     5374         30.5000       373.8730           0.6538     0.0207     0.0704     0.7174         0.0833     3239              11        87.8110           0.2503     0.0217     0.0692     0.6679         0.1307
         18x10     4982         30.5000       374.7130           0.7168     0.0266     0.0825     0.7097         0.0816     3007              11        85.8090           0.2728     0.0279     0.0817     0.6692         0.1285
        181x12     4260         30.5000       377.0370           0.8274     0.0406     0.1093     0.7104         0.0833     2532              11        88.3080           0.3112     0.0423     0.1084     0.6745         0.1372
  20x18(F1-GT)     3487         30.5000       379.7150           1.0003     0.0440     0.1083     0.6464         0.0850     2099              11        85.8570           0.3729     0.0454     0.1078     0.6230         0.1353
       18x12WE     4363         30.5000       386.0100           0.8255     0.0396     0.1063     0.6986         0.0817     2599              11        89.4400           0.3076     0.0408     0.1056     0.6708         0.1346
         17x7E     5873         30.5000       386.3230           0.6246     0.0225     0.0753     0.7325         0.0796     3522              11        89.5640           0.2347     0.0232     0.0742     0.6955         0.1295
          17x8     5281         30.5000       386.4430           0.6888     0.0306     0.0927     0.7367         0.0805     3181              11        89.5010           0.2606     0.0318     0.0915     0.6964         0.1276
          17x6     5869         30.5000       387.1380           0.6265     0.0226     0.0754     0.7308         0.0795     3525              11        91.6000           0.2391     0.0236     0.0741     0.6812         0.1262
         17x6E     6220         30.5000       389.7120           0.5928     0.0190     0.0670     0.7276         0.0792     3751              11        90.2610           0.2239     0.0197     0.0659     0.6880         0.1261
       17x10WE     4883         30.5000       390.4030           0.7574     0.0394     0.1088     0.7257         0.0791     2943              11        88.1090           0.2823     0.0405     0.1079     0.6986         0.1269
         17x8E     5593         30.5000       390.4230           0.6564     0.0259     0.0827     0.7295         0.0798     3359              11        90.0940           0.2460     0.0267     0.0815     0.6962         0.1287
        18x12E     4526         30.5000       390.7480           0.8054     0.0359     0.0988     0.6903         0.0807     2707              11        89.6340           0.3007     0.0370     0.0981     0.6620         0.1323
         17x10     4935         30.5000       390.7490           0.7525     0.0384     0.1068     0.7241         0.0786     2979              11        88.9220           0.2837     0.0397     0.1057     0.6893         0.1245
         18x12     4821         30.5000       391.3600           0.7670     0.0303     0.0876     0.6825         0.0792     2899              11        90.1740           0.2910     0.0317     0.0870     0.6455         0.1256
         17x8N     5568         30.5000       391.9920           0.6627     0.0261     0.0824     0.7239         0.0795     3348              11        91.9200           0.2516     0.0271     0.0812     0.6800         0.1258
       16x55MR     6336         30.5000       398.8850           0.5948     0.0245     0.0813     0.7540         0.0777     3824              11        90.5830           0.2222     0.0251     0.0801     0.7225         0.1247
        17x10E     5242         30.5000       400.3480           0.7195     0.0324     0.0941     0.7112         0.0776     3154              11        91.4020           0.2689     0.0333     0.0933     0.6816         0.1245
        17x10N     5241         30.5000       401.1080           0.7210     0.0321     0.0931     0.7077         0.0774     3154              11        92.3110           0.2727     0.0334     0.0922     0.6695         0.1233
         17x4W     6349         30.5000       405.6720           0.6032     0.0186     0.0642     0.6996         0.0763     3847              11        95.4870           0.2333     0.0195     0.0629     0.6449         0.1175
          16x7     6117         30.5000       407.1450           0.6318     0.0280     0.0875     0.7364         0.0755     3678              11        94.6690           0.2393     0.0291     0.0861     0.6933         0.1208
        17x12W     4585         30.5000       407.2070           0.8303     0.0487     0.1225     0.7020         0.0773     2745              11        93.3890           0.3113     0.0505     0.1216     0.6709         0.1256
         16x6E     6805         30.5000       407.6850           0.5685     0.0203     0.0706     0.7357         0.0755     4118              11        93.4030           0.2143     0.0209     0.0693     0.6971         0.1197
     16x7E(3D)     6399         30.5000       408.4750           0.6028     0.0244     0.0796     0.7370         0.0759     3870              11        93.2010           0.2264     0.0250     0.0785     0.7013         0.1205
          16x8     5806         30.5000       409.0700           0.6674     0.0328     0.0970     0.7337         0.0755     3482              11        95.2010           0.2518     0.0340     0.0956     0.6946         0.1219
          16x6     6440         30.5000       410.2940           0.6015     0.0240     0.0786     0.7333         0.0755     3904              11        94.5570           0.2291     0.0249     0.0773     0.6872         0.1179
         16x8E     6158         30.5000       411.4420           0.6332     0.0277     0.0862     0.7294         0.0749     3701              11        94.1840           0.2370     0.0284     0.0851     0.6970         0.1214
        17x12E     5069         30.5000       418.1300           0.7840     0.0380     0.1011     0.6765         0.0735     3051              11        94.7650           0.2926     0.0390     0.1004     0.6508         0.1177
         18x14     4752         30.5000       418.3560           0.8282     0.0336     0.0900     0.6410         0.0745     2849              11        95.5220           0.3127     0.0352     0.0896     0.6093         0.1201
         17x13     4661         30.5000       419.9280           0.8443     0.0480     0.1187     0.6793         0.0747     2793              11        95.8010           0.3167     0.0498     0.1180     0.6494         0.1214
       15x55MR     6977         30.5000       420.0000           0.5741     0.0271     0.0873     0.7598         0.0727     4204              11        95.7150           0.2134     0.0275     0.0860     0.7307         0.1178
  205x205E(CD)     3250         30.5000       420.2630           1.1908     0.0510     0.1090     0.5640         0.0762     1962              11        92.3250           0.4423     0.0523     0.1087     0.5468         0.1225
         16x10     5458         30.5000       421.7670           0.7260     0.0403     0.1093     0.7160         0.0740     3278              11        97.4870           0.2731     0.0416     0.1081     0.6818         0.1183
         16x4W     6997         30.5000       422.2890           0.5767     0.0196     0.0671     0.7069         0.0722     4227              11       100.4140           0.2221     0.0206     0.0656     0.6527         0.1121
         16x4E     7979         30.5000       424.3260           0.5076     0.0133     0.0516     0.7047         0.0719     4837              11        99.7160           0.1947     0.0138     0.0503     0.6532         0.1120
        16x10E     5796         30.5000       426.9450           0.6972     0.0343     0.0972     0.7040         0.0724     3470              11        98.2750           0.2602     0.0353     0.0962     0.6745         0.1183
          15x6     7100         30.5000       433.5120           0.5810     0.0264     0.0842     0.7361         0.0707     4285              11       101.3400           0.2203     0.0273     0.0825     0.6927         0.1116
         15x6E     7527         30.5000       434.1550           0.5463     0.0221     0.0746     0.7378         0.0711     4546              11        99.7510           0.2052     0.0226     0.0733     0.7003         0.1138
          15x7     6729         30.5000       434.4150           0.6116     0.0309     0.0934     0.7370         0.0711     4075              11        99.6150           0.2311     0.0319     0.0918     0.6974         0.1116
