# Interpolated propeller performance at 32 N (required) and 12 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@32N  Thrust@32N (N)  Power@32N (W)  Torque@32N (Nm)     Cp@32N     Ct@32N    FOM@32N  Eff@32N (N/W)  RPM@12N  Thrust@12N (N)  Power@12N (W)  Torque@12N (Nm)     Cp@12N     Ct@12N    FOM@12N  Eff@12N (N/W)
         19x8E     4763              32       371.2280           0.7340     0.0226     0.0757     0.7345         0.0881     3006         12.5000        93.9490           0.2982     0.0232     0.0748     0.7031         0.1333
        20x13E     3803              32       373.8070           0.9212     0.0344     0.0965     0.6950         0.0882     2349         12.5000        98.9170           0.3714     0.0355     0.0958     0.6680         0.1404
     205x14EPN     3616              32       374.2200           0.9561     0.0347     0.0959     0.6836         0.0898     2246         12.5000        97.7110           0.3858     0.0357     0.0954     0.6577         0.1407
       205x14E     3613              32       374.6100           0.9582     0.0348     0.0961     0.6826         0.0897     2244         12.5000        97.6440           0.3865     0.0359     0.0955     0.6574         0.1409
         19x8W     4497              32       375.3800           0.7792     0.0268     0.0846     0.7304         0.0881     2819         12.5000        97.1970           0.3187     0.0278     0.0835     0.6913         0.1349
         19x11     4182              32       378.6640           0.8499     0.0340     0.0981     0.7225         0.0865     2590         12.5000        99.9700           0.3458     0.0353     0.0973     0.6865         0.1366
        19x10E     4414              32       379.1920           0.8005     0.0286     0.0877     0.7250         0.0873     2756         12.5000        97.2190           0.3235     0.0294     0.0869     0.6952         0.1371
         20x14     3986              32       381.0060           0.9119     0.0313     0.0887     0.6737         0.0842     2448         12.5000       102.5710           0.3717     0.0328     0.0882     0.6389         0.1346
       19x12WE     4077              32       383.1430           0.8894     0.0376     0.1037     0.7098         0.0845     2513         12.5000       100.8960           0.3579     0.0386     0.1030     0.6833         0.1376
       18x55MR     5381              32       385.1550           0.6729     0.0213     0.0736     0.7486         0.0850     3364         12.5000        99.6540           0.2724     0.0219     0.0727     0.7163         0.1325
20x15(WCAR-T6)     3645              32       390.2000           0.9909     0.0401     0.1044     0.6717         0.0859     2260         12.5000       102.2000           0.4016     0.0415     0.1039     0.6428         0.1349
        19x12E     4217              32       390.4220           0.8670     0.0341     0.0964     0.7022         0.0842     2612         12.5000       101.4220           0.3496     0.0350     0.0957     0.6747         0.1348
         18x8W     4942              32       390.6430           0.7521     0.0284     0.0879     0.7320         0.0824     3097         12.5000       101.6290           0.3071     0.0293     0.0867     0.6943         0.1259
        20x15C     3924              32       391.0510           0.9443     0.0333     0.0912     0.6597         0.0828     2413         12.5000       104.6730           0.3843     0.0348     0.0908     0.6270         0.1323
         18x8E     5205              32       392.0650           0.7105     0.0241     0.0788     0.7342         0.0830     3253         12.5000       101.5620           0.2878     0.0248     0.0779     0.7021         0.1290
        181x10     4499              32       392.7020           0.8148     0.0357     0.1026     0.7330         0.0843     2817         12.5000       100.9570           0.3313     0.0370     0.1016     0.6998         0.1299
        20x15E     3695              32       392.7970           0.9869     0.0389     0.1017     0.6660         0.0850     2289         12.5000       102.7700           0.3974     0.0400     0.1012     0.6421         0.1348
        18x10E     4857              32       399.0360           0.7767     0.0302     0.0906     0.7201         0.0814     3050         12.5000       101.0340           0.3139     0.0310     0.0898     0.6928         0.1255
         18x6W     5500              32       400.5110           0.6844     0.0207     0.0704     0.7195         0.0816     3445         12.5000       105.5760           0.2819     0.0216     0.0693     0.6739         0.1245
          18x8     5382              32       400.6870           0.6994     0.0221     0.0736     0.7197         0.0816     3367         12.5000       105.5550           0.2871     0.0230     0.0726     0.6773         0.1245
         18x10     5094              32       403.3590           0.7505     0.0266     0.0826     0.7111         0.0800     3182         12.5000       105.1920           0.3073     0.0278     0.0818     0.6734         0.1234
        181x12     4358              32       405.0670           0.8666     0.0406     0.1093     0.7117         0.0816     2713         12.5000       104.6400           0.3517     0.0420     0.1085     0.6801         0.1282
  20x18(F1-GT)     3574              32       406.4330           1.0482     0.0440     0.1083     0.6473         0.0830     2221         12.5000       105.3330           0.4214     0.0452     0.1079     0.6254         0.1300
