# Propeller performance at 17 N required thrust
# Also evaluated at 8 N target thrust
# All units in SI (N, W, Nm, N/W)
# ------------------------------------------------------------

     Propeller  RPM at 17 N  Power at 17 N (W)  Torque at 17 N (Nm)  Efficiency at 17 N (N/W)  RPM at 8 N  Power at 8 N (W)  Torque at 8 N (Nm)  Efficiency at 8 N (N/W)
          9x85        11684           359.2300               0.2924                    0.0475        8228          128.1400              0.1479                   0.0660
         8x6SF        12769           359.3600               0.2680                    0.0475        9009          124.9900              0.1325                   0.0672
         8x375        19373           359.5300               0.1770                    0.0474       13840          130.8000              0.0904                   0.0643
      9x45R-RH        16591           361.7000               0.2079                    0.0471       11759          128.9400              0.1045                   0.0654
       875x75N        13754           365.5500               0.2535                    0.0466        9691          130.9100              0.1285                   0.0645
          8x6E        14277           366.6600               0.2447                    0.0465       10084          130.2500              0.1229                   0.0646
    9x39SFR-PC        17904           367.0600               0.1955                    0.0464       12765          131.8800              0.0984                   0.0639
       875x75W        14371           368.1100               0.2440                    0.0463       10137          131.5500              0.1237                   0.0640
          8x4F        18169           368.1800               0.1933                    0.0462       12938          131.7500              0.0973                   0.0638
           8x6        15571           370.4300               0.2266                    0.0460       11012          132.4500              0.1148                   0.0634
       9x44SFR        17500           372.5100               0.2031                    0.0457       12435          133.2700              0.1021                   0.0633
           9x9        11828           376.8900               0.3037                    0.0452        8321          134.4100              0.1532                   0.0630
      875x75NN        14579           380.0700               0.2484                    0.0449       10274          136.1200              0.1259                   0.0620
      875x80NN        14573           382.2900               0.2501                    0.0446       10268          136.8200              0.1266                   0.0617
       7x38WSF        16852           382.3200               0.2163                    0.0445       11923          133.3200              0.1067                   0.0631
     875x775NN        14590           385.4200               0.2518                    0.0442       10282          137.6000              0.1275                   0.0614
         11x14         8257           388.5500               0.4472                    0.0441        5805          137.8500              0.2249                   0.0617
        7x41SF        19046           385.6000               0.1934                    0.0441       13473          134.9200              0.0953                   0.0625
         7x4SF        18765           386.6500               0.1964                    0.0440       13288          135.0400              0.0968                   0.0624
          78x6        16595           389.5500               0.2239                    0.0437       11730          139.3600              0.1133                   0.0605
           8x7        15334           389.8700               0.2422                    0.0437       10816          138.9800              0.1224                   0.0606
           7x3        23786           394.9900               0.1585                    0.0431       17052          143.8300              0.0806                   0.0584
       10x12WE         8896           396.1200               0.4242                    0.0431        6249          139.9400              0.2122                   0.0608
          7x4E        19710           395.8400               0.1916                    0.0430       13990          140.6700              0.0960                   0.0597
       875x85N        13678           396.7300               0.2765                    0.0430        9629          141.1400              0.1396                   0.0599
         88x85        14075           396.0300               0.2687                    0.0430        9919          140.8400              0.1356                   0.0598
           7x4        20747           398.8000               0.1835                    0.0427       14756          143.7300              0.0928                   0.0586
     875x825NN        14555           402.0100               0.2631                    0.0424       10254          143.5500              0.1329                   0.0588
         88x89        13976           404.5500               0.2764                    0.0420        9837          144.0700              0.1393                   0.0585
          9x10        11840           406.7400               0.3272                    0.0419        8326          144.5800              0.1647                   0.0586
      875x875W        14280           407.9800               0.2723                    0.0418       10064          144.6600              0.1373                   0.0582
     875x875NN        14529           408.9000               0.2683                    0.0417       10232          145.2100              0.1353                   0.0581
         7x5SF        18035           408.2300               0.2159                    0.0417       12729          142.4900              0.1065                   0.0592
       875x90W        14256           413.6900               0.2765                    0.0412       10046          146.8200              0.1393                   0.0573
          7x5E        18690           414.4200               0.2114                    0.0411       13218          146.9300              0.1059                   0.0573
         88x90        14041           414.0600               0.2815                    0.0411        9889          146.9300              0.1417                   0.0573
           7x5        20081           415.4800               0.1976                    0.0409       14226          148.9600              0.0998                   0.0565
    8x37SFR-PC        22038           415.6300               0.1802                    0.0409       15742          148.7400              0.0902                   0.0566
        88x875        13986           416.4600               0.2846                    0.0408        9845          148.0100              0.1433                   0.0570
      875x90NN        14519           418.8800               0.2749                    0.0407       10224          148.7300              0.1384                   0.0567
           8x8        15244           419.7500               0.2625                    0.0406       10737          149.4000              0.1323                   0.0565
          8x73        15774           420.4000               0.2540                    0.0405       11114          149.4400              0.1280                   0.0563
          78x7        16269           422.1200               0.2475                    0.0404       11471          150.2600              0.1246                   0.0562
     875x925NN        14508           423.2200               0.2778                    0.0403       10216          150.0300              0.1398                   0.0562
      875x925W        14254           423.7500               0.2833                    0.0402       10044          149.7800              0.1425                   0.0561
         65x29        27513           426.4800               0.1479                    0.0399       19767          155.1200              0.0749                   0.0542
       8x42SFR        21745           430.5400               0.1889                    0.0395       15445          152.7400              0.0944                   0.0552
         65x37        25551           430.7100               0.1609                    0.0395       18223          155.7100              0.0814                   0.0540
        88x925        13990           430.9100               0.2942                    0.0395        9847          153.0900              0.1478                   0.0551
         88x95        14066           433.1200               0.2940                    0.0393        9905          153.4100              0.1477                   0.0549
        88x975        14083           433.9100               0.2941                    0.0392        9919          153.9600              0.1477                   0.0547
         7x6SF        17693           439.2200               0.2368                    0.0388       12473          153.0200              0.1168                   0.0551
          7x6W        18103           440.5300               0.2325                    0.0386       12791          156.7500              0.1167                   0.0537
          7x4F        23449           441.0700               0.1796                    0.0386       16748          157.8600              0.0898                   0.0533
        6x31SF        26507           442.2200               0.1593                    0.0385       18881          154.4400              0.0779                   0.0544
          7x6E        18209           443.0400               0.2320                    0.0384       12852          156.7400              0.1161                   0.0537
           7x6        19675           444.5200               0.2155                    0.0383       13900          157.9500              0.1086                   0.0532
        74x75C        16215           445.7300               0.2623                    0.0382       11435          158.0500              0.1316                   0.0534
          63x4        24755           449.0200               0.1732                    0.0379       17616          161.2200              0.0872                   0.0522
        74x76C        16189           449.8000               0.2651                    0.0379       11414          159.7500              0.1330                   0.0529
       6x42E-3        22018           451.6100               0.1959                    0.0376       15591          160.8300              0.0983                   0.0524
        74x77C        16171           453.4100               0.2675                    0.0376       11401          160.7000              0.1342                   0.0525
           8x9        15187           459.0400               0.2884                    0.0371       10687          162.4900              0.1446                   0.0520
           6x3        30631           464.3300               0.1448                    0.0366       22013          167.3500              0.0727                   0.0502
        6x41SF        25166           467.6900               0.1773                    0.0364       17812          162.7400              0.0871                   0.0517
         65x50        24360           468.9200               0.1837                    0.0363       17240          167.3300              0.0925                   0.0503
         6x45E        22244           471.8500               0.2025                    0.0361       15750          166.8700              0.1008                   0.0504
           6x4        27193           475.3700               0.1669                    0.0358       19348          170.1700              0.0839                   0.0494
           6x2        34425           476.5700               0.1322                    0.0357       25057          171.9600              0.0654                   0.0489
          6x4E        27361           479.3200               0.1672                    0.0355       19474          170.4700              0.0834                   0.0494
           7x7        19318           480.6100               0.2373                    0.0354       13615          170.4100              0.1192                   0.0495
          7x7E        18001           484.1000               0.2567                    0.0351       12679          170.2600              0.1281                   0.0495
          57x3        32276           487.7500               0.1443                    0.0349       23193          175.2300              0.0722                   0.0480
         65x55        24207           488.9300               0.1928                    0.0348       17102          173.2200              0.0968                   0.0485
          7x6F        21885           492.0900               0.2148                    0.0346       15471          173.9000              0.1070                   0.0484
          8x10        14787           503.4500               0.3248                    0.0338       10401          177.7100              0.1624                   0.0476
         55x25        34672           506.6200               0.1395                    0.0336       25020          181.6700              0.0693                   0.0462
         65x60        24146           513.1800               0.2027                    0.0331       17045          181.2000              0.1015                   0.0464
          6x3F        29663           513.6000               0.1653                    0.0331       21151          181.5500              0.0819                   0.0463
          55x2        37180           514.8200               0.1322                    0.0330       27022          183.9300              0.0650                   0.0457
           6x5        26418           516.3900               0.1865                    0.0330       18690          182.8600              0.0934                   0.0460
           7x8        19287           538.4200               0.2662                    0.0316       13580          189.6700              0.1329                   0.0444
         65x65        24081           542.0800               0.2150                    0.0314       16987          190.5200              0.1072                   0.0441
         6x55E        26282           547.2400               0.1988                    0.0311       18582          192.3000              0.0988                   0.0438
        5x4E-3        26400           552.8900               0.1999                    0.0308       18681          195.3400              0.0996                   0.0431
           5x3        37984           563.7600               0.1418                    0.0302       27269          199.1700              0.0697                   0.0422
        55x45E        31479           568.8900               0.1724                    0.0299       22337          199.9600              0.0853                   0.0421
         65x70        24039           577.2100               0.2294                    0.0295       16946          202.5400              0.1140                   0.0415
          5x3E        39893           580.5400               0.1390                    0.0293       28664          201.0500              0.0670                   0.0418
        55x47E        31342           581.9700               0.1772                    0.0292       22219          203.8300              0.0876                   0.0413
      51x50E-3        26946           584.9300               0.2072                    0.0291       19040          205.7300              0.1033                   0.0408
           7x9        19264           600.5500               0.2974                    0.0284       13558          210.3600              0.1479                   0.0401
        5x41SF        35465           608.4600               0.1637                    0.0280       25112          209.4900              0.0797                   0.0401
        51x45E        29414           614.9200               0.1997                    0.0277       20775          215.3600              0.0989                   0.0391
         65x75        24008           616.6400               0.2453                    0.0276       16919          215.5400              0.1215                   0.0390
         5x43E        31108           623.5700               0.1914                    0.0273       22024          218.5200              0.0947                   0.0384
         5x45E        31175           631.5500               0.1934                    0.0269       22070          221.4300              0.0957                   0.0379
        51x50E        32116           644.2900               0.1916                    0.0264       22708          225.6900              0.0948                   0.0373
          46x3        43451           644.7300               0.1417                    0.0264       31221          218.0700              0.0667                   0.0385
      525x475E        33323           650.9000               0.1865                    0.0261       23508          225.8200              0.0917                   0.0372
          7x10        19292           662.0200               0.3274                    0.0257       13579          231.0100              0.1623                   0.0365
         475x4        39667           670.4100               0.1614                    0.0254       28189          229.2700              0.0777                   0.0367
       525x55E        33527           715.1400               0.2037                    0.0238       23671          246.2200              0.0992                   0.0342
        47x42E        40501           727.5100               0.1714                    0.0234       28596          248.2400              0.0829                   0.0339
          5x5E        37460           734.3700               0.1871                    0.0232       26481          247.8100              0.0894                   0.0339
         7x11E        18164           756.8600               0.3977                    0.0225       12779          263.6900              0.1965                   0.0320
       475x45E        40796           764.4300               0.1789                    0.0222       28789          259.8100              0.0861                   0.0324
        55x65E        30192           765.5600               0.2422                    0.0222       21268          264.5100              0.1188                   0.0318
         55x70        30754           778.2700               0.2417                    0.0219       21674          267.2500              0.1178                   0.0315
      475x475E        41030           811.4200               0.1889                    0.0210       28995          268.3300              0.0883                   0.0313
      525x625E        33147           813.2100               0.2342                    0.0209       23356          279.9700              0.1144                   0.0300
       475x55E        40891           916.0600               0.2139                    0.0186       28841          300.8900              0.0996                   0.0279
        525x8E        31622           976.3900               0.2948                    0.0174       22263          335.0900              0.1436                   0.0251
         5x75E        34587          1009.9700               0.2788                    0.0168       24352          344.1100              0.1349                   0.0244
         7x15E        18259          1047.4500               0.5473                    0.0163       12844          362.5700              0.2690                   0.0232
         5x11E        34984          1635.3700               0.4464                    0.0104       24610          552.9700              0.2145                   0.0152
        4x4E-3        41000             0.0000               0.0000                       NaN       41000            0.0000              0.0000                      NaN
        52x60E        33000             0.0000               0.0000                       NaN       33000            0.0000              0.0000                      NaN
       5x37E-3        40000             0.0000               0.0000                       NaN       40000            0.0000              0.0000                      NaN
        5x4E-4        37000             0.0000               0.0000                       NaN       37000            0.0000              0.0000                      NaN
          6x6E        32000             0.0000               0.0000                       NaN       32000            0.0000              0.0000                      NaN
          8x8E        24000             0.0000               0.0000                       NaN       24000            0.0000              0.0000                      NaN
          9x9E        22000             0.0000               0.0000                       NaN       22000            0.0000              0.0000                      NaN
