# Interpolated propeller performance at 35 N (required) and 14 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@35N  Thrust@35N (N)  Power@35N (W)  Torque@35N (Nm)     Cp@35N     Ct@35N    FOM@35N  Eff@35N (N/W)  RPM@14N  Thrust@14N (N)  Power@14N (W)  Torque@14N (Nm)     Cp@14N     Ct@14N    FOM@14N  Eff@14N (N/W)
       20x12WE     3926              35       411.2120           0.9933     0.0350     0.0997     0.7169         0.0862     2447              14       112.8910           0.4090     0.0360     0.0989     0.6903         0.1379
          20x8     4700              35       411.4110           0.8216     0.0201     0.0691     0.7213         0.0872     3008              14       109.2270           0.3459     0.0208     0.0682     0.6812         0.1285
        20x11E     4152              35       411.9460           0.9332     0.0293     0.0888     0.7207         0.0868     2601              14       111.5560           0.3852     0.0302     0.0880     0.6916         0.1377
         20x10     4395              35       415.2080           0.8802     0.0246     0.0788     0.7187         0.0871     2782              14       111.5780           0.3687     0.0256     0.0780     0.6807         0.1324
    205x135EPN     3763              35       418.2890           1.0381     0.0349     0.0974     0.6947         0.0867     2354              14       114.1400           0.4278     0.0360     0.0968     0.6692         0.1361
         19x8E     4998              35       418.6830           0.8006     0.0226     0.0758     0.7380         0.0836     3159              14       112.8790           0.3319     0.0231     0.0749     0.7062         0.1286
        20x13E     3997              35       420.6480           1.0053     0.0343     0.0966     0.6980         0.0832     2486              14       116.1040           0.4141     0.0353     0.0959     0.6712         0.1337
     205x14EPN     3793              35       422.8090           1.0433     0.0346     0.0960     0.6861         0.0854     2371              14       115.4930           0.4300     0.0356     0.0954     0.6605         0.1348
         20x12     4237              35       423.1050           0.9343     0.0281     0.0850     0.7043         0.0850     2662              14       114.8390           0.3902     0.0293     0.0844     0.6675         0.1320
       205x14E     3790              35       423.2410           1.0455     0.0347     0.0962     0.6851         0.0854     2369              14       115.4990           0.4308     0.0357     0.0955     0.6601         0.1350
         19x8W     4706              35       425.4850           0.8493     0.0268     0.0847     0.7340         0.0844     3009              14       112.3660           0.3550     0.0276     0.0836     0.6982         0.1249
        19x10E     4617              35       431.1290           0.8733     0.0286     0.0879     0.7274         0.0837     2942              14       112.3370           0.3609     0.0293     0.0870     0.7004         0.1268
         19x11     4362              35       433.3320           0.9265     0.0339     0.0983     0.7251         0.0835     2756              14       115.9330           0.3853     0.0351     0.0974     0.6919         0.1284
       18x55MR     5624              35       438.3140           0.7339     0.0212     0.0738     0.7515         0.0815     3560              14       117.2080           0.3036     0.0218     0.0728     0.7202         0.1258
         20x14     4153              35       438.8360           0.9938     0.0312     0.0888     0.6760         0.0814     2597              14       119.6020           0.4139     0.0326     0.0883     0.6435         0.1277
20x15(WCAR-T6)     3825              35       440.4250           1.0809     0.0399     0.1044     0.6744         0.0816     2387              14       120.7220           0.4474     0.0414     0.1039     0.6461         0.1291
       19x12WE     4248              35       440.7400           0.9703     0.0376     0.1038     0.7115         0.0817     2669              14       117.6210           0.3993     0.0385     0.1031     0.6871         0.1295
        20x15E     3880              35       443.0620           1.0771     0.0388     0.1017     0.6684         0.0806     2419              14       121.1960           0.4431     0.0398     0.1012     0.6448         0.1287
        181x10     4709              35       445.4260           0.8885     0.0357     0.1027     0.7359         0.0806     3007              14       116.6530           0.3694     0.0367     0.1017     0.7061         0.1203
        19x12E     4401              35       446.6690           0.9458     0.0340     0.0965     0.7040         0.0811     2781              14       117.6660           0.3900     0.0348     0.0958     0.6787         0.1261
         18x8W     5156              35       447.0420           0.8198     0.0284     0.0880     0.7350         0.0794     3261              14       120.9340           0.3416     0.0292     0.0868     0.6983         0.1212
        20x15C     4101              35       447.1260           1.0294     0.0332     0.0912     0.6621         0.0795     2558              14       122.3180           0.4280     0.0346     0.0908     0.6312         0.1257
         18x8E     5432              35       448.0390           0.7749     0.0241     0.0790     0.7368         0.0799     3436              14       119.9720           0.3206     0.0246     0.0780     0.7057         0.1232
         18x6W     5754              35       453.7880           0.7455     0.0207     0.0706     0.7238         0.0783     3650              14       123.3400           0.3134     0.0214     0.0694     0.6798         0.1183
        18x10E     5081              35       454.0440           0.8475     0.0302     0.0908     0.7227         0.0777     3209              14       121.1510           0.3497     0.0309     0.0899     0.6956         0.1207
          18x8     5625              35       455.3610           0.7620     0.0221     0.0737     0.7234         0.0784     3564              14       123.7050           0.3193     0.0229     0.0726     0.6828         0.1186
  20x18(F1-GT)     3747              35       459.8690           1.1440     0.0439     0.1084     0.6492         0.0790     2343              14       124.8100           0.4699     0.0451     0.1079     0.6279         0.1247
        181x12     4556              35       461.1270           0.9451     0.0405     0.1094     0.7142         0.0784     2894              14       120.9720           0.3921     0.0417     0.1086     0.6857         0.1192
         18x10     5311              35       461.9930           0.8179     0.0266     0.0827     0.7137         0.0773     3356              14       124.5750           0.3418     0.0276     0.0818     0.6775         0.1183
       18x12WE     4675              35       470.5550           0.9439     0.0395     0.1065     0.7017         0.0765     2980              14       122.0610           0.3886     0.0403     0.1057     0.6795         0.1154
          17x8     5650              35       471.6060           0.7866     0.0305     0.0930     0.7415         0.0757     3577              14       126.9840           0.3272     0.0314     0.0917     0.7058         0.1157
         17x8E     6007              35       472.4580           0.7503     0.0259     0.0829     0.7341         0.0741     3804              14       125.9230           0.3100     0.0265     0.0817     0.7051         0.1144
        18x12E     4862              35       473.3130           0.9209     0.0358     0.0989     0.6936         0.0750     3082              14       124.9000           0.3795     0.0367     0.0982     0.6703         0.1145
          17x6     6269              35       473.6780           0.7147     0.0226     0.0757     0.7365         0.0749     4011              14       126.5070           0.3000     0.0232     0.0743     0.6952         0.1109
         17x7E     6274              35       473.7240           0.7136     0.0225     0.0756     0.7367         0.0749     4009              14       124.0880           0.2957     0.0229     0.0744     0.7062         0.1130
         17x8N     5979              35       473.7370           0.7566     0.0260     0.0827     0.7297         0.0740     3789              14       128.1010           0.3158     0.0268     0.0814     0.6915         0.1125
         17x6E     6647              35       476.0820           0.6770     0.0190     0.0673     0.7328         0.0746     4232              14       127.5020           0.2814     0.0194     0.0661     0.6979         0.1126
         18x12     5164              35       478.2520           0.8757     0.0302     0.0878     0.6866         0.0742     3257              14       129.2950           0.3651     0.0313     0.0871     0.6546         0.1133
       17x10WE     5220              35       479.8350           0.8662     0.0394     0.1090     0.7288         0.0743     3296              14       127.6900           0.3560     0.0402     0.1080     0.7047         0.1153
         17x10     5268              35       481.2450           0.8597     0.0384     0.1070     0.7277         0.0742     3328              14       129.1290           0.3564     0.0394     0.1059     0.6969         0.1141
       16x55MR     6782              35       486.1850           0.6801     0.0245     0.0816     0.7580         0.0727     4306              14       129.1780           0.2801     0.0249     0.0803     0.7303         0.1117
        17x10E     5607              35       490.0580           0.8226     0.0324     0.0944     0.7145         0.0730     3543              14       130.3110           0.3389     0.0331     0.0934     0.6882         0.1130
        17x10N     5604              35       490.1140           0.8234     0.0320     0.0934     0.7117         0.0729     3543              14       131.4880           0.3424     0.0330     0.0923     0.6785         0.1120
         17x4W     6793              35       492.1800           0.6873     0.0185     0.0646     0.7067         0.0718     4325              14       134.9760           0.2913     0.0192     0.0632     0.6581         0.1067
        17x12W     4930              35       492.2010           0.9491     0.0485     0.1227     0.7062         0.0716     3117              14       130.9350           0.3923     0.0499     0.1218     0.6800         0.1100
     16x7E(3D)     6855              35       496.8660           0.6890     0.0243     0.0799     0.7416         0.0710     4350              14       133.0560           0.2849     0.0248     0.0786     0.7096         0.1085
          16x6     6900              35       497.7730           0.6865     0.0239     0.0789     0.7388         0.0707     4383              14       134.7450           0.2871     0.0246     0.0775     0.6980         0.1071
         16x6E     7273              35       498.4880           0.6495     0.0203     0.0709     0.7405         0.0710     4628              14       132.9370           0.2695     0.0208     0.0696     0.7063         0.1083
          16x7     6530              35       498.9030           0.7214     0.0280     0.0878     0.7414         0.0713     4161              14       132.7620           0.3006     0.0287     0.0863     0.7051         0.1076
          16x8     6210              35       500.0840           0.7624     0.0328     0.0973     0.7381         0.0708     3961              14       131.9390           0.3168     0.0335     0.0959     0.7060         0.1068
         16x8E     6580              35       504.0900           0.7238     0.0277     0.0865     0.7332         0.0705     4185              14       132.9290           0.2987     0.0281     0.0853     0.7056         0.1078
         17x13     5015              35       507.1780           0.9653     0.0478     0.1189     0.6831         0.0691     3161              14       135.7290           0.3989     0.0492     0.1182     0.6577         0.1070
         18x14     5100              35       509.0130           0.9462     0.0335     0.0901     0.6447         0.0694     3212              14       136.4230           0.3929     0.0347     0.0896     0.6178         0.1071
         16x10     5855              35       512.0320           0.8296     0.0401     0.1095     0.7204         0.0690     3701              14       136.9250           0.3435     0.0412     0.1084     0.6907         0.1063
  205x205E(CD)     3475              35       515.6550           1.3623     0.0508     0.1091     0.5658         0.0719     2189              14       136.8190           0.5580     0.0520     0.1088     0.5506         0.1115
        17x12E     5410              35       516.1410           0.8965     0.0379     0.1013     0.6789         0.0694     3413              14       137.1470           0.3687     0.0387     0.1005     0.6562         0.1078
       15x55MR     7445              35       516.7280           0.6569     0.0271     0.0876     0.7631         0.0686     4738              14       135.5670           0.2694     0.0274     0.0861     0.7376         0.1057
         16x4W     7457              35       517.5420           0.6573     0.0196     0.0674     0.7129         0.0684     4765              14       140.5510           0.2776     0.0202     0.0658     0.6661         0.1015
         16x4E     8507              35       518.7160           0.5786     0.0133     0.0519     0.7106         0.0681     5439              14       141.1540           0.2437     0.0136     0.0505     0.6649         0.1013
        16x10E     6204              35       522.5680           0.7973     0.0343     0.0974     0.7074         0.0678     3947              14       136.6330           0.3283     0.0349     0.0964     0.6830         0.1034
         15x6E     8062              35       528.0960           0.6244     0.0220     0.0749     0.7425         0.0664     5140              14       140.2890           0.2583     0.0224     0.0735     0.7100         0.1010
      155x12-4     4811              35       528.5230           1.0366     0.0856     0.1815     0.7203         0.0674     3051              14       139.8540           0.4325     0.0837     0.1722     0.6807         0.1015
          15x7     7200              35       530.1440           0.6988     0.0309     0.0938     0.7418         0.0666     4574              14       141.9900           0.2902     0.0316     0.0921     0.7069         0.1016
          15x6     7579              35       530.9780           0.6636     0.0264     0.0845     0.7414         0.0667     4840              14       141.9050           0.2765     0.0270     0.0828     0.7038         0.1001
         15x7E     7633              35       532.8850           0.6618     0.0260     0.0833     0.7381         0.0664     4868              14       140.4200           0.2731     0.0263     0.0819     0.7090         0.1010
          15x8     6914              35       534.3610           0.7356     0.0353     0.1018     0.7341         0.0658     4382              14       143.1820           0.3048     0.0361     0.1003     0.7025         0.1010
         16x12     5643              35       540.1950           0.9016     0.0468     0.1174     0.6858         0.0661     3561              14       143.8080           0.3725     0.0481     0.1166     0.6601         0.1024
         15x8E     7329              35       540.9880           0.6988     0.0298     0.0904     0.7283         0.0655     4655              14       142.9890           0.2878     0.0302     0.0891     0.7012         0.1007
         15x4E     9404              35       546.2080           0.5517     0.0143     0.0549     0.7194         0.0646     6040              14       146.4820           0.2314     0.0146     0.0534     0.6766         0.0958
         15x4W     8350              35       547.2590           0.6217     0.0204     0.0697     0.7188         0.0645     5337              14       148.4650           0.2620     0.0210     0.0679     0.6724         0.0962
        16x12E     6024              35       552.0730           0.8743     0.0401     0.1037     0.6652         0.0635     3804              14       145.8260           0.3592     0.0410     0.1029     0.6441         0.0988
       14x47SF     7719              35       553.6180           0.6805     0.0369     0.1075     0.7612         0.0639     4923              14       142.1200           0.2742     0.0366     0.1058     0.7496         0.0993
         15x10     6574              35       554.0100           0.7962     0.0421     0.1121     0.7116         0.0642     4175              14       146.4110           0.3293     0.0431     0.1110     0.6845         0.0978
       14x55MR     8388              35       554.7210           0.6273     0.0288     0.0910     0.7597         0.0637     5340              14       145.7610           0.2571     0.0290     0.0894     0.7347         0.0982
         16x13     5591              35       555.5370           0.9352     0.0494     0.1195     0.6677         0.0644     3525              14       147.9070           0.3859     0.0508     0.1189     0.6434         0.0998
        15x10E     6962              35       564.6270           0.7733     0.0366     0.1006     0.6947         0.0621     4400              14       150.1790           0.3178     0.0373     0.0995     0.6708         0.0964
         14x6E     8990              35       565.7200           0.6009     0.0241     0.0795     0.7419         0.0619     5729              14       150.2690           0.2478     0.0244     0.0778     0.7112         0.0947
          14x6     8434              35       567.3750           0.6379     0.0290     0.0900     0.7429         0.0623     5379              14       151.9680           0.2651     0.0295     0.0881     0.7071         0.0941
          14x7     8042              35       568.4560           0.6744     0.0338     0.0993     0.7383         0.0617     5123              14       150.8160           0.2795     0.0345     0.0976     0.7057         0.0939
         15x11     6468              35       569.1350           0.8308     0.0454     0.1158     0.6933         0.0625     4110              14       149.4460           0.3433     0.0464     0.1148     0.6684         0.0951
         16x14     5547              35       573.7730           0.9733     0.0522     0.1215     0.6463         0.0624     3495              14       152.5790           0.4010     0.0537     0.1209     0.6244         0.0968
         14x7E     8539              35       574.4600           0.6382     0.0283     0.0878     0.7338         0.0615     5436              14       152.1040           0.2626     0.0286     0.0863     0.7062         0.0941
         14x5N    10091              35       578.7240           0.5467     0.0174     0.0631     0.7259         0.0606     6472              14       157.5910           0.2296     0.0177     0.0610     0.6790         0.0901
         14x4W     9326              35       580.2060           0.5914     0.0220     0.0737     0.7253         0.0608     5990              14       155.9620           0.2483     0.0224     0.0716     0.6818         0.0898
  20x225EP(CD)     3554              35       581.1500           1.5053     0.0638     0.1198     0.5183         0.0636     2232              14       154.4990           0.6140     0.0651     0.1196     0.5065         0.0998
          14x8     7700              35       581.7970           0.7166     0.0391     0.1080     0.7246         0.0608     4909              14       153.3170           0.2963     0.0398     0.1064     0.6955         0.0922
      15x135-3     5569              35       585.7280           0.9892     0.0728     0.1560     0.6755         0.0611     3509              14       156.1710           0.4094     0.0751     0.1552     0.6497         0.0944
         15x12     6391              35       586.6810           0.8669     0.0485     0.1187     0.6727         0.0606     4062              14       153.6390           0.3579     0.0497     0.1178     0.6497         0.0920
       13x47SF     8715              35       596.1560           0.6496     0.0408     0.1153     0.7641         0.0592     5544              14       154.1470           0.2611     0.0404     0.1133     0.7542         0.0930
   13x55MRF-RH     9425              35       596.1970           0.6008     0.0317     0.0970     0.7605         0.0592     6027              14       155.2960           0.2459     0.0318     0.0951     0.7362         0.0903
        14x85E     8189              35       596.2130           0.6916     0.0334     0.0956     0.7061         0.0591     5206              14       156.5730           0.2841     0.0338     0.0943     0.6823         0.0909
       13x45MR    10261              35       598.7660           0.5553     0.0252     0.0832     0.7596         0.0588     6553              14       158.0200           0.2279     0.0253     0.0813     0.7315         0.0899
       13x55MR     9515              35       600.9830           0.5997     0.0316     0.0967     0.7576         0.0587     6080              14       156.8260           0.2453     0.0317     0.0948     0.7346         0.0898
        13x55E    10090              35       606.3130           0.5730     0.0269     0.0862     0.7485         0.0579     6439              14       160.6430           0.2357     0.0271     0.0842     0.7194         0.0886
  13x45EP(F2B)    11065              35       609.2120           0.5251     0.0205     0.0717     0.7455         0.0575     7097              14       161.6890           0.2172     0.0206     0.0696     0.7101         0.0870
       13x45EP    11065              35       609.2120           0.5251     0.0205     0.0717     0.7455         0.0575     7097              14       161.6890           0.2172     0.0206     0.0696     0.7101         0.0870
         14x10     7395              35       609.8250           0.7806     0.0461     0.1170     0.6924         0.0581     4690              14       161.1610           0.3220     0.0471     0.1158     0.6666         0.0892
          13x6     9983              35       614.6510           0.5877     0.0281     0.0878     0.7379         0.0570     6375              14       164.7860           0.2439     0.0285     0.0856     0.7013         0.0862
   13x65E(F2B)     9723              35       615.7160           0.6024     0.0305     0.0926     0.7383         0.0572     6205              14       161.9360           0.2474     0.0307     0.0908     0.7120         0.0875
        13x65E     9739              35       616.4520           0.6021     0.0304     0.0923     0.7377         0.0571     6215              14       162.4500           0.2472     0.0306     0.0905     0.7111         0.0872
         13x4E    11588              35       616.5890           0.5063     0.0181     0.0652     0.7371         0.0571     7440              14       165.3670           0.2102     0.0181     0.0631     0.6983         0.0857
         16x16     5522              35       616.6920           1.0501     0.0569     0.1225     0.6016         0.0581     3477              14       163.2010           0.4312     0.0583     0.1221     0.5837         0.0907
        14x10F     7480              35       618.4230           0.7828     0.0477     0.1193     0.6899         0.0573     4744              14       161.5140           0.3205     0.0483     0.1182     0.6702         0.0887
         13x7F     9212              35       619.1190           0.6394     0.0353     0.1017     0.7321         0.0569     5874              14       161.8720           0.2621     0.0356     0.0998     0.7076         0.0872
         13x4W    10493              35       619.8430           0.5614     0.0239     0.0783     0.7314         0.0568     6733              14       166.4410           0.2346     0.0242     0.0760     0.6890         0.0850
          13x7     9535              35       621.2990           0.6188     0.0319     0.0948     0.7298         0.0568     6094              14       164.2820           0.2565     0.0324     0.0929     0.6971         0.0857
        14x10E     7876              35       621.5830           0.7509     0.0392     0.1034     0.6773         0.0566     5010              14       161.5070           0.3081     0.0398     0.1024     0.6561         0.0868
          13x4    11447              35       627.5340           0.5215     0.0194     0.0679     0.7276         0.0561     7369              14       170.0030           0.2184     0.0195     0.0654     0.6815         0.0832
         14x11     7297              35       629.2310           0.8169     0.0496     0.1202     0.6705         0.0562     4617              14       166.2100           0.3365     0.0507     0.1192     0.6470         0.0867
         135x9     8681              35       629.9310           0.6890     0.0355     0.0983     0.6938         0.0560     5514              14       167.1460           0.2851     0.0362     0.0969     0.6647         0.0855
         125x6    10030              35       634.3130           0.6036     0.0343     0.1005     0.7412         0.0552     6399              14       169.2220           0.2495     0.0347     0.0982     0.7078         0.0840
          13x8     9284              35       634.9450           0.6503     0.0361     0.1016     0.7167         0.0555     5920              14       167.2640           0.2691     0.0367     0.1000     0.6869         0.0842
        135x10     8166              35       637.5520           0.7422     0.0432     0.1112     0.6848         0.0552     5184              14       168.5050           0.3064     0.0442     0.1100     0.6592         0.0843
         13x8E     9218              35       638.2040           0.6587     0.0370     0.1031     0.7129         0.0552     5871              14       167.1800           0.2701     0.0374     0.1016     0.6897         0.0845
       12x47SF     9875              35       638.6060           0.6162     0.0443     0.1219     0.7678         0.0550     6291              14       164.2640           0.2471     0.0435     0.1197     0.7589         0.0865
       12x58SF    10462              35       641.9130           0.5834     0.0372     0.1085     0.7655         0.0549     6675              14       164.6040           0.2331     0.0365     0.1064     0.7580         0.0863
       12x45MR    11287              35       643.0950           0.5425     0.0298     0.0933     0.7624         0.0547     7219              14       169.0410           0.2219     0.0298     0.0911     0.7368         0.0836
       12x7E-3     9039              35       643.9740           0.6800     0.0583     0.1456     0.7602         0.0544     5744              14       169.8910           0.2790     0.0590     0.1436     0.7352         0.0837
   12x45MRF-RH    11402              35       646.4030           0.5394     0.0290     0.0914     0.7590         0.0544     7296              14       169.7990           0.2207     0.0290     0.0891     0.7327         0.0834
        12x6SF     9053              35       646.6150           0.6810     0.0582     0.1452     0.7581         0.0542     5752              14       165.7360           0.2726     0.0574     0.1431     0.7523         0.0858
       12x38SF    10693              35       648.1660           0.5768     0.0353     0.1040     0.7571         0.0543     6836              14       166.7250           0.2321     0.0347     0.1016     0.7443         0.0847
          13x9     8495              35       648.4010           0.7241     0.0479     0.1212     0.7030         0.0545     5395              14       170.8790           0.2981     0.0487     0.1197     0.6773         0.0838
       12x55MR    10482              35       648.7130           0.5883     0.0374     0.1081     0.7569         0.0543     6685              14       169.5980           0.2399     0.0375     0.1060     0.7355         0.0836
         14x12     7242              35       650.4590           0.8519     0.0525     0.1221     0.6482         0.0543     4577              14       171.6620           0.3505     0.0537     0.1213     0.6269         0.0842
   12x6EP(F2B)    11165              35       662.5060           0.5653     0.0317     0.0954     0.7398         0.0530     7138              14       174.2440           0.2317     0.0318     0.0933     0.7141         0.0809
         12x6E    11171              35       662.9410           0.5654     0.0317     0.0953     0.7397         0.0530     7143              14       173.9520           0.2318     0.0318     0.0932     0.7133         0.0810
        14x12N     7470              35       663.8520           0.8417     0.0488     0.1146     0.6353         0.0534     4730              14       174.6610           0.3465     0.0498     0.1139     0.6148         0.0821
          12x5    12013              35       663.8830           0.5275     0.0256     0.0825     0.7381         0.0527     7712              14       177.8440           0.2188     0.0258     0.0798     0.6993         0.0794
          12x6    10708              35       666.1080           0.5920     0.0361     0.1037     0.7362         0.0528     6852              14       175.7250           0.2441     0.0364     0.1011     0.7052         0.0802
         13x10     8354              35       668.7760           0.7597     0.0520     0.1254     0.6814         0.0528     5300              14       176.2940           0.3125     0.0529     0.1241     0.6583         0.0810
          12x4    12927              35       669.9110           0.4944     0.0207     0.0712     0.7314         0.0523     8334              14       180.7630           0.2061     0.0207     0.0683     0.6870         0.0781
          11x9    12000              35       674.3420           0.5368     0.0265     0.0817     0.7255         0.0525     7576              14       188.3680           0.2382     0.0366     0.0955     0.6724         0.0743
          12x7    10287              35       676.1290           0.6256     0.0414     0.1123     0.7254         0.0521     6559              14       179.0540           0.2575     0.0418     0.1101     0.6972         0.0794
         14x13     7153              35       676.3630           0.8981     0.0568     0.1253     0.6226         0.0521     4514              14       178.3390           0.3688     0.0581     0.1246     0.6041         0.0811
        13x10F     8511              35       676.6760           0.7544     0.0488     0.1189     0.6710         0.0522     5396              14       176.9240           0.3084     0.0494     0.1178     0.6532         0.0809
        12x8SF     8333              35       681.9770           0.7764     0.0781     0.1709     0.7213         0.0518     5284              14       174.5410           0.3110     0.0775     0.1693     0.7168         0.0819
        14x12E     7706              35       682.2670           0.8402     0.0457     0.1078     0.6178         0.0518     4888              14       177.0690           0.3436     0.0465     0.1072     0.6019         0.0800
        13x10E     8871              35       687.7350           0.7383     0.0449     0.1114     0.6606         0.0511     5621              14       180.3800           0.3020     0.0455     0.1103     0.6426         0.0792
         115x4    12889              35       688.3890           0.5098     0.0266     0.0849     0.7422         0.0509     8289              14       184.6260           0.2115     0.0266     0.0819     0.7025         0.0764
        14x135     7138              35       690.8700           0.9198     0.0584     0.1258     0.6094         0.0510     4503              14       182.2680           0.3773     0.0597     0.1252     0.5920         0.0794
       11x46SF    12808              35       692.0090           0.5152     0.0339     0.1027     0.7728         0.0507     8208              14       177.1470           0.2052     0.0329     0.0999     0.7646         0.0796
         13x11     8226              35       693.3960           0.8006     0.0555     0.1274     0.6539         0.0508     5214              14       181.9790           0.3289     0.0566     0.1264     0.6339         0.0782
