Propeller,MAX RPM,RPM@30N,Thrust@30N (N),Power@30N (W),Torque@30N (Nm),Cp@30N,Ct@30N,FOM@30N,Eff@30N (N/W),RPM@11N,Thrust@11N (N),Power@11N (W),Torque@11N (Nm),Cp@11N,Ct@11N,FOM@11N,Eff@11N (N/W)
17x6,5147.058824,5869,30.5,387.138,0.6265,0.02263,0.07541,0.73078,0.079473,3525,11,91.6,0.2391,0.02363,0.07411,0.68121,0.126247
17x6E,5147.058824,6220,30.5,389.712,0.5928,0.019,0.06703,0.72764,0.079233,3751,11,90.261,0.2239,0.01965,0.06593,0.68801,0.126142
17x7E,5147.058824,5873,30.5,386.323,0.6246,0.02251,0.07532,0.73248,0.079641,3522,11,89.564,0.2347,0.02319,0.07421,0.69549,0.129473
17x8,5147.058824,5281,30.5,386.443,0.6888,0.03057,0.0927,0.73666,0.080512,3181,11,89.501,0.2606,0.03175,0.09149,0.69635,0.127627
17x8E,5147.058824,5593,30.5,390.423,0.6564,0.02594,0.08266,0.72952,0.079797,3359,11,90.094,0.246,0.02672,0.08154,0.69619,0.128706
17x8N,5147.058824,5568,30.5,391.992,0.6627,0.02609,0.0824,0.72395,0.079468,3348,11,91.92,0.2516,0.02712,0.08117,0.68004,0.125757
181x10,4861.111111,4394,30.5,366.339,0.7779,0.03578,0.10248,0.73151,0.086103,2623,11,85.538,0.2932,0.03726,0.10151,0.6932,0.139912
181x12,4861.111111,4260,30.5,377.037,0.8274,0.0406,0.10926,0.71037,0.083266,2532,11,88.308,0.3112,0.04229,0.10841,0.67451,0.137184
18x10,4861.111111,4982,30.5,374.713,0.7168,0.02661,0.08249,0.70969,0.081557,3007,11,85.809,0.2728,0.02789,0.0817,0.66917,0.128461
18x10E,4861.111111,4734,30.5,373.717,0.7413,0.03028,0.09057,0.71855,0.083587,2847,11,84.641,0.2776,0.03117,0.08975,0.68771,0.135606
18x12,4861.111111,4821,30.5,391.36,0.767,0.03029,0.08763,0.6825,0.079245,2899,11,90.174,0.291,0.03167,0.08698,0.64547,0.125556
18x12E,4861.111111,4526,30.5,390.748,0.8054,0.03594,0.09881,0.69026,0.080719,2707,11,89.634,0.3007,0.03705,0.09811,0.66196,0.132313
18x12WE,4861.111111,4363,30.5,386.01,0.8255,0.03959,0.10632,0.69863,0.08173,2599,11,89.44,0.3076,0.04082,0.10558,0.67079,0.134621
