Propeller,FT,RPM@35N,Thrust@35N (N),Power@35N (W),Torque@35N (Nm),Cp@35N,Ct@35N,FOM@35N,Eff@35N (N/W),RPM@14N,Thrust@14N (N),Power@14N (W),Torque@14N (Nm),Cp@14N,Ct@14N,FOM@14N,Eff@14N (N/W)
20x8E,8.709984939,4595,35,405.765,0.8253,0.02108,0.07216,0.73392,0.088989,2930,14,106.435,0.3431,0.02166,0.07137,0.70183,0.13426
20x8W,8.319025442,4307,35,407.085,0.8817,0.02564,0.08215,0.73291,0.088673,2720,14,110.135,0.3685,0.02664,0.08116,0.69363,0.135866
215x105PN,8.892624604,3619,35,378.217,0.9663,0.02745,0.08623,0.73601,0.097045,2277,14,103.741,0.4035,0.0285,0.08544,0.69841,0.148341
215x10WPN,8.951362364,3622,35,377.343,0.9631,0.02729,0.08614,0.73807,0.097221,2278,14,103.258,0.4023,0.02839,0.08527,0.69975,0.149482
215x13EPN,8.489812578,3488,35,395.25,1.0417,0.0319,0.09299,0.70884,0.093634,2200,14,106.236,0.4301,0.03282,0.0923,0.68281,0.143534
21x105PN,8.657182051,3770,35,385.44,0.955,0.02841,0.08814,0.73518,0.093899,2362,14,106.393,0.3984,0.02957,0.08728,0.6973,0.145468
21x10PN,8.775981251,3736,35,384.272,0.9584,0.02901,0.08962,0.73945,0.094557,2342,14,105.606,0.3996,0.03009,0.08877,0.70164,0.146796
21x10W,8.642248826,3686,35,388.007,0.9772,0.03033,0.09188,0.73372,0.094081,2314,14,106.693,0.4069,0.03142,0.09106,0.69806,0.144857
21x12WE,8.587848522,3585,35,396.024,1.0193,0.03327,0.09685,0.72278,0.093077,2255,14,107.072,0.4203,0.03417,0.09613,0.69613,0.143834
21x135EPN,8.07088259,3591,35,408.945,1.0511,0.03426,0.09655,0.69928,0.090047,2258,14,110.297,0.4334,0.03517,0.0959,0.67393,0.140089
21x13E,8.168749016,3642,35,404.991,1.0287,0.03264,0.09402,0.70563,0.090583,2287,14,109.776,0.4244,0.03354,0.09341,0.67888,0.141132
21x13WE,8.412698818,3506,35,402.462,1.0548,0.036,0.1011,0.71309,0.091935,2210,14,107.998,0.4347,0.03691,0.10048,0.68783,0.141635
22x10,8.644634838,3737,35,375.282,0.9357,0.02243,0.07442,0.72194,0.096704,2344,14,104.014,0.3923,0.02346,0.07364,0.68072,0.148671
22x10E,9.077818984,3636,35,372.917,0.9491,0.02391,0.07828,0.73044,0.098405,2286,14,101.709,0.3931,0.02467,0.07761,0.69899,0.151793
22x12E,9.01390379,3424,35,380.504,1.0201,0.02887,0.08795,0.72036,0.097334,2165,14,101.57,0.4217,0.02975,0.08737,0.69312,0.148981
22x12WE,9.515931582,3197,35,375.531,1.086,0.03544,0.10154,0.72756,0.097292,2036,14,97.694,0.448,0.03627,0.10082,0.7038,0.146716
22x13EPN,8.926361153,3389,35,382.691,1.0367,0.02998,0.08983,0.71622,0.096749,2145,14,102.026,0.4286,0.03087,0.08917,0.68947,0.147287
22x8,8.505771489,4030,35,372.622,0.879,0.0183,0.06472,0.71857,0.094391,2517,14,104.389,0.3699,0.01918,0.06391,0.6722,0.147594
24x12E,10.07481778,2983,35,336.792,1.075,0.02641,0.08349,0.72858,0.104468,1863,14,91.404,0.4448,0.02735,0.08285,0.69716,0.167455
25x125E,9.986959318,2705,35,333.552,1.1206,0.02668,0.08392,0.72692,0.113175,1676,14,91.81,0.4632,0.02768,0.08337,0.69415,0.184881
26x13E,10.03163612,2498,35,326.435,1.1606,0.02635,0.0831,0.72546,0.119037,1538,14,91.093,0.4793,0.02739,0.08262,0.69181,0.198304
26x15E,9.575748694,2393,35,333.716,1.2314,0.03046,0.09044,0.71325,0.116959,1466,14,94.009,0.5075,0.03166,0.08999,0.68151,0.19647
27x13E,10.24613959,2342,35,315.153,1.188,0.02543,0.08121,0.72722,0.123725,1433,14,89.253,0.4904,0.02645,0.08072,0.69233,0.208906
